ndvi_d,slope_d,vh_d,n_seasons,days_to_POS,days_from_SOS,rel_pos,in_season,amplitude,peak_ndvi,los,lokasi,region,fase,sumber,truth3,pred3,pred6
0.1774354650719308,0.0078103865127779,-21.334999084472656,2,51.0,63.0,1.05,0,0.191,0.326,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.1450220923478915,0.0127177100348408,-22.60249948501587,3,51.0,75.0,2.083333333333333,0,0.224,0.243,36.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.0594409521780153,0.0093711058996944,-20.65499973297119,3,-45.0,3.0,0.0357142857142857,1,0.546,0.554,84.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.09016915868494,0.0064683369515133,-20.079999446868896,4,-57.0,39.0,0.325,1,0.497,0.51,120.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.2582486856097896,0.0092185739265638,-17.792500019073486,3,51.0,75.0,1.25,0,0.278,0.45,60.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.1416291327438096,0.012298958818875,-19.68249988555908,4,51.0,75.0,1.25,0,0.254,0.282,60.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.1195706984981634,0.0151678660917725,-19.68249988555908,4,51.0,75.0,1.25,0,0.283,0.282,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.2044490938211213,0.0137312945910537,-19.867498874664307,4,51.0,75.0,1.25,0,0.41,0.389,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.0651593165607214,0.0107944503407321,-20.50999927520752,4,63.0,75.0,2.083333333333333,0,0.257,0.227,36.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.199640231500898,0.0123240150489731,-19.867498874664307,4,51.0,75.0,1.25,0,0.394,0.389,60.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.209441931401511,0.0146637683206775,-21.812499046325684,6,27.0,39.0,1.625,0,0.173,0.116,24.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.1879873874887752,0.0075288384513754,-20.20249938964844,3,51.0,75.0,1.25,0,0.252,0.362,60.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.1973750503875568,0.0128223456502779,-21.10999870300293,4,51.0,75.0,1.25,0,0.331,0.377,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.0522579367109328,0.0104986634045049,-21.24000024795532,4,51.0,51.0,2.125,0,0.258,0.218,24.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.0930011975381843,0.0158822993454246,-20.23499870300293,5,27.0,39.0,1.625,0,0.155,0.118,24.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.2108334335969812,0.015052334675866,-21.812499046325684,6,27.0,39.0,1.625,0,0.179,0.116,24.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.1119459106366435,0.0129812122102713,-20.85249900817871,5,63.0,75.0,2.083333333333333,0,0.362,0.303,36.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.1528406216210507,0.012715233077996,-19.71499919891357,3,51.0,75.0,1.25,0,0.431,0.449,60.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.1530986884165232,0.0127034492957925,-19.71499919891357,3,51.0,75.0,1.25,0,0.431,0.449,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.3251509750081508,0.0043320613892385,-21.52249956130981,2,-21.0,39.0,0.5416666666666666,1,0.221,0.486,72.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.2040916285221689,0.009789878031511,-22.174999713897705,3,51.0,75.0,2.083333333333333,0,0.152,0.236,36.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.2130311667804004,0.0123929385936115,-22.174999713897705,4,51.0,75.0,1.25,0,0.181,0.236,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.1522980706053059,0.0099094877103327,-21.85499906539917,5,-21.0,39.0,0.5416666666666666,1,0.397,0.477,72.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.1689382744625321,0.0127721918148234,-21.804999828338623,3,-21.0,39.0,0.5416666666666666,1,0.47,0.527,72.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.1482125694794219,0.0129269087986771,-19.71499919891357,3,51.0,75.0,1.25,0,0.431,0.449,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.0292674435389043,0.0131948526319519,-22.08999967575073,4,51.0,51.0,4.25,0,0.258,0.213,12.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.1201486889544383,0.0150926930046854,-19.68249988555908,4,51.0,75.0,1.25,0,0.282,0.282,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.0715828204441039,0.0111481475969614,-22.054998874664307,3,51.0,51.0,4.25,0,0.246,0.221,12.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.0619064948553067,0.0133406806936555,-22.054998874664307,4,51.0,75.0,2.083333333333333,0,0.281,0.221,36.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.22349951500769,0.0084803268334621,-20.32749938964844,3,51.0,75.0,1.25,0,0.251,0.402,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.0913207932498244,0.0140807355318248,-19.84749937057495,4,63.0,75.0,2.083333333333333,0,0.335,0.275,36.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.1218203496615886,0.0115794965667863,-20.85249900817871,4,63.0,75.0,2.083333333333333,0,0.338,0.303,36.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.0576628273242418,0.0152236102477136,-19.47749900817871,4,51.0,75.0,1.25,0,0.314,0.268,60.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.2100023409046208,0.0148203851706688,-21.812499046325684,6,27.0,39.0,1.625,0,0.176,0.116,24.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.1271464758259349,0.0141825658953208,-19.68249988555908,4,51.0,75.0,1.25,0,0.273,0.282,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.0605772117532473,0.0176982043741262,-21.31999921798706,5,-57.0,39.0,0.325,1,0.643,0.575,120.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.2279310108451109,0.0131558444739905,-19.96750020980835,4,51.0,75.0,2.083333333333333,0,0.222,0.242,36.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.1548469320992234,0.0075757712705284,-21.85499906539917,3,-21.0,39.0,0.5416666666666666,1,0.323,0.41,72.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.1098964816899433,0.0138966874358866,-20.53249931335449,5,51.0,75.0,2.083333333333333,0,0.279,0.234,36.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.0923664664867239,0.0174827153091526,-20.53249931335449,5,51.0,75.0,2.083333333333333,0,0.315,0.234,36.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.1881590067524157,0.0080429859786236,-20.20249938964844,4,51.0,75.0,1.25,0,0.256,0.362,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.0510443873165019,0.010581392506181,-21.24000024795532,4,51.0,51.0,2.125,0,0.258,0.218,24.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.1652309867617826,0.0095391002140227,-22.09499931335449,5,-21.0,39.0,0.5416666666666666,1,0.454,0.474,72.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.056228836412511,0.013793225404084,-20.51499891281128,4,27.0,39.0,1.0833333333333333,0,0.132,0.105,36.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.3289192330462773,0.0062656960779502,-15.62000036239624,2,51.0,75.0,1.25,0,0.246,0.474,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.1928923198420876,0.0114263704267463,-21.10999870300293,4,51.0,75.0,2.083333333333333,0,0.318,0.377,36.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.254334177819117,0.0108484937132176,-18.56249952316284,4,51.0,75.0,1.25,0,0.277,0.391,60.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.1673513587718058,0.0105994010256337,-21.804999828338623,3,-21.0,39.0,0.5416666666666666,1,0.412,0.476,72.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.2215244562617593,0.0078704744864509,-20.32749938964844,3,51.0,75.0,1.25,0,0.248,0.402,60.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.2230198395779986,0.0083322147244245,-20.32749938964844,3,51.0,75.0,1.25,0,0.251,0.402,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.0643493850971436,0.017038308052187,-21.31999921798706,5,63.0,75.0,2.083333333333333,0,0.289,0.224,36.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.2065251721907303,0.0143388221801026,-19.867498874664307,4,51.0,75.0,1.25,0,0.417,0.389,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.2058377171368818,0.0102984056152754,-22.174999713897705,3,51.0,75.0,1.25,0,0.158,0.236,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.0902889006161212,0.0089219812752002,-22.57749891281128,1,51.0,51.0,4.25,0,0.221,0.217,12.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
0.1662341920901372,0.0090700942168035,-21.804999828338623,2,-21.0,39.0,0.5416666666666666,1,0.371,0.44,72.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.3190636523716983,0.0061182293923989,-15.62000036239624,2,51.0,75.0,1.25,0,0.242,0.474,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.0764215601592339,0.0113730630420319,-22.57749891281128,2,51.0,75.0,2.083333333333333,0,0.259,0.217,36.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.2919891904466525,0.0081904232308623,-20.237500190734863,3,51.0,75.0,1.25,0,0.238,0.443,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.2573588115347051,0.0114109559579478,-18.56249952316284,4,51.0,75.0,1.25,0,0.277,0.391,60.0,21_Sumurgede,Karawang,2,Drone (rice field),vegetative,vegetative,2
0.1361689337573762,0.0064259794133801,-21.647499084472656,4,51.0,75.0,2.083333333333333,0,0.251,0.294,36.0,21_Sumurgede,Karawang,2,Drone (50x50),vegetative,vegetative,2
