ndvi_d,slope_d,vh_d,n_seasons,days_to_POS,days_from_SOS,rel_pos,in_season,amplitude,peak_ndvi,los,lokasi,region,fase,sumber
0.25824868560978964,0.00921857392656385,-17.792500019073486,3,51.0,75.0,1.25,0,0.278,0.45,60.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.14162913274380964,0.012298958818875062,-19.682499885559082,4,51.0,75.0,1.25,0,0.254,0.282,60.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.11957069849816343,0.0151678660917725,-19.682499885559082,4,51.0,75.0,1.25,0,0.283,0.282,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.20444909382112136,0.013731294591053758,-19.867498874664307,4,51.0,75.0,1.25,0,0.41,0.389,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.06515931656072145,0.010794450340732167,-20.50999927520752,4,63.0,75.0,2.0833333333333335,0,0.257,0.227,36.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.19964023150089807,0.01232401504897318,-19.867498874664307,4,51.0,75.0,1.25,0,0.394,0.389,60.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.20944193140151102,0.0146637683206775,-21.812499046325684,6,27.0,39.0,1.625,0,0.173,0.116,24.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.1879873874887752,0.007528838451375441,-20.202499389648438,3,51.0,75.0,1.25,0,0.252,0.362,60.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.19737505038755682,0.012822345650277988,-21.10999870300293,4,51.0,75.0,1.25,0,0.331,0.377,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.052257936710932845,0.010498663404504949,-21.240000247955322,4,51.0,51.0,2.125,0,0.258,0.218,24.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.09300119753818435,0.015882299345424653,-20.23499870300293,5,27.0,39.0,1.625,0,0.155,0.118,24.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.21083343359698123,0.015052334675866,-21.812499046325684,6,27.0,39.0,1.625,0,0.179,0.116,24.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.11194591063664357,0.01298121221027139,-20.85249900817871,5,63.0,75.0,2.0833333333333335,0,0.362,0.303,36.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.1528406216210507,0.012715233077996059,-19.714999198913574,3,51.0,75.0,1.25,0,0.431,0.449,60.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.15309868841652327,0.012703449295792554,-19.714999198913574,3,51.0,75.0,1.25,0,0.431,0.449,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.3251509750081508,0.0043320613892385285,-21.522499561309814,2,-21.0,39.0,0.5416666666666666,1,0.221,0.486,72.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.2040916285221689,0.00978987803151102,-22.174999713897705,3,51.0,75.0,2.0833333333333335,0,0.152,0.236,36.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.2130311667804004,0.012392938593611581,-22.174999713897705,4,51.0,75.0,1.25,0,0.181,0.236,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.15229807060530592,0.009909487710332723,-21.85499906539917,5,-21.0,39.0,0.5416666666666666,1,0.397,0.477,72.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.16893827446253215,0.0127721918148234,-21.804999828338623,3,-21.0,39.0,0.5416666666666666,1,0.47,0.527,72.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.14821256947942194,0.012926908798677162,-19.714999198913574,3,51.0,75.0,1.25,0,0.431,0.449,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.029267443538904328,0.013194852631951965,-22.089999675750732,4,51.0,51.0,4.25,0,0.258,0.213,12.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.12014868895443834,0.015092693004685407,-19.682499885559082,4,51.0,75.0,1.25,0,0.282,0.282,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.07158282044410391,0.011148147596961451,-22.054998874664307,3,51.0,51.0,4.25,0,0.246,0.221,12.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.061906494855306735,0.013340680693655516,-22.054998874664307,4,51.0,75.0,2.0833333333333335,0,0.281,0.221,36.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.22349951500769,0.008480326833462193,-20.327499389648438,3,51.0,75.0,1.25,0,0.251,0.402,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.09132079324982442,0.01408073553182484,-19.84749937057495,4,63.0,75.0,2.0833333333333335,0,0.335,0.275,36.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.12182034966158861,0.011579496566786389,-20.85249900817871,4,63.0,75.0,2.0833333333333335,0,0.338,0.303,36.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.057662827324241814,0.015223610247713612,-19.47749900817871,4,51.0,75.0,1.25,0,0.314,0.268,60.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.21000234090462083,0.01482038517066886,-21.812499046325684,6,27.0,39.0,1.625,0,0.176,0.116,24.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.12714647582593497,0.014182565895320855,-19.682499885559082,4,51.0,75.0,1.25,0,0.273,0.282,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.06057721175324736,0.01769820437412629,-21.31999921798706,5,-57.0,39.0,0.325,1,0.643,0.575,120.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.22793101084511097,0.013155844473990585,-19.96750020980835,4,51.0,75.0,2.0833333333333335,0,0.222,0.242,36.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.15484693209922346,0.0075757712705284185,-21.85499906539917,3,-21.0,39.0,0.5416666666666666,1,0.323,0.41,72.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.10989648168994337,0.013896687435886693,-20.532499313354492,5,51.0,75.0,2.0833333333333335,0,0.279,0.234,36.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.09236646648672393,0.017482715309152654,-20.532499313354492,5,51.0,75.0,2.0833333333333335,0,0.315,0.234,36.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.18815900675241573,0.008042985978623608,-20.202499389648438,4,51.0,75.0,1.25,0,0.256,0.362,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.05104438731650194,0.01058139250618108,-21.240000247955322,4,51.0,51.0,2.125,0,0.258,0.218,24.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.16523098676178266,0.009539100214022721,-22.094999313354492,5,-21.0,39.0,0.5416666666666666,1,0.454,0.474,72.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.056228836412511085,0.013793225404084094,-20.51499891281128,4,27.0,39.0,1.0833333333333333,0,0.132,0.105,36.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.3289192330462773,0.006265696077950247,-15.62000036239624,2,51.0,75.0,1.25,0,0.246,0.474,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.19289231984208768,0.011426370426746347,-21.10999870300293,4,51.0,75.0,2.0833333333333335,0,0.318,0.377,36.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.254334177819117,0.010848493713217694,-18.562499523162842,4,51.0,75.0,1.25,0,0.277,0.391,60.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.16735135877180585,0.01059940102563378,-21.804999828338623,3,-21.0,39.0,0.5416666666666666,1,0.412,0.476,72.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.22152445626175934,0.007870474486450953,-20.327499389648438,3,51.0,75.0,1.25,0,0.248,0.402,60.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.22301983957799865,0.008332214724424589,-20.327499389648438,3,51.0,75.0,1.25,0,0.251,0.402,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.06434938509714361,0.017038308052187097,-21.31999921798706,5,63.0,75.0,2.0833333333333335,0,0.289,0.224,36.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.20652517219073038,0.014338822180102621,-19.867498874664307,4,51.0,75.0,1.25,0,0.417,0.389,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.20583771713688187,0.010298405615275464,-22.174999713897705,3,51.0,75.0,1.25,0,0.158,0.236,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.09028890061612123,0.00892198127520021,-22.57749891281128,1,51.0,51.0,4.25,0,0.221,0.217,12.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.16623419209013723,0.009070094216803512,-21.804999828338623,2,-21.0,39.0,0.5416666666666666,1,0.371,0.44,72.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.3190636523716983,0.006118229392398961,-15.62000036239624,2,51.0,75.0,1.25,0,0.242,0.474,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.0764215601592339,0.011373063042031993,-22.57749891281128,2,51.0,75.0,2.0833333333333335,0,0.259,0.217,36.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.29198919044665256,0.008190423230862328,-20.237500190734863,3,51.0,75.0,1.25,0,0.238,0.443,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.25735881153470513,0.011410955957947852,-18.562499523162842,4,51.0,75.0,1.25,0,0.277,0.391,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.13616893375737624,0.006425979413380183,-21.647499084472656,4,51.0,75.0,2.0833333333333335,0,0.251,0.294,36.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.07588120434825785,0.011468564496890285,-22.57749891281128,2,51.0,75.0,2.0833333333333335,0,0.26,0.217,36.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.32500293164103916,0.004290215214891015,-21.522499561309814,2,-21.0,39.0,0.5416666666666666,1,0.219,0.485,72.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.1272685493174756,0.007095439006623227,-21.647499084472656,4,51.0,75.0,2.0833333333333335,0,0.273,0.294,36.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.16072316887052943,0.011079324750912159,-21.334999084472656,3,-21.0,3.0,0.08333333333333333,1,0.419,0.519,36.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.34653852870601065,0.0030426733297879934,-18.12249994277954,1,51.0,75.0,1.25,0,0.147,0.437,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.16449005453845433,0.00921710612322406,-22.094999313354492,4,-21.0,39.0,0.5416666666666666,1,0.443,0.467,72.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.0855872443834097,0.016816569427789654,-20.067500114440918,4,51.0,75.0,1.25,0,0.568,0.495,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.18815836000396435,0.008040837790429654,-20.202499389648438,4,51.0,75.0,1.25,0,0.256,0.362,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.1678397886901248,0.00968731241326344,-21.334999084472656,3,-21.0,3.0,0.08333333333333333,1,0.365,0.48,36.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.1634925851367195,0.008783610698672993,-22.094999313354492,4,-21.0,39.0,0.5416666666666666,1,0.428,0.456,72.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.2918870332060423,0.007969662331850943,-20.237500190734863,2,51.0,75.0,1.25,0,0.237,0.443,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.2591311395292162,0.011740396505692008,-18.562499523162842,4,51.0,75.0,1.25,0,0.276,0.391,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.1694802603710647,0.011385849837983358,-22.094999313354492,5,-21.0,39.0,0.5416666666666666,1,0.516,0.519,72.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.19298720960458482,0.011455412976388876,-21.10999870300293,4,51.0,75.0,2.0833333333333335,0,0.318,0.377,36.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.12833683620402622,0.007015085428930134,-21.647499084472656,4,51.0,75.0,2.0833333333333335,0,0.271,0.294,36.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.19030980730553174,0.010622209754301832,-21.10999870300293,4,51.0,75.0,2.0833333333333335,0,0.313,0.377,36.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.15329310911944455,0.008998463231256597,-21.85499906539917,4,-21.0,39.0,0.5416666666666666,1,0.368,0.451,72.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.1920835540118484,0.011174532922246632,-21.10999870300293,4,51.0,75.0,2.0833333333333335,0,0.316,0.377,36.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.29263502131735475,0.009585420699751315,-20.237500190734863,3,51.0,75.0,1.25,0,0.25,0.443,60.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.26112875900411975,0.0121117052827508,-18.562499523162842,4,51.0,75.0,1.25,0,0.276,0.391,60.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.20382604295445658,0.013549022977098445,-19.867498874664307,4,51.0,75.0,1.25,0,0.408,0.389,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.24852426139134234,0.00991507648004432,-19.00999927520752,3,51.0,75.0,2.0833333333333335,0,0.262,0.382,36.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.06857039416954162,0.010566922732961899,-20.50999927520752,4,63.0,75.0,2.0833333333333335,0,0.256,0.227,36.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.24680728002067948,0.01017209657158867,-19.91499900817871,3,51.0,75.0,2.0833333333333335,0,0.253,0.341,36.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.2659386822408801,0.007839021998473873,-19.452499389648438,1,27.0,27.0,2.25,0,0.111,0.298,12.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.1677662479299833,0.011167575844145036,-21.804999828338623,3,-21.0,39.0,0.5416666666666666,1,0.427,0.489,72.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.13502342763592137,0.006512140904345029,-21.647499084472656,4,51.0,75.0,2.0833333333333335,0,0.254,0.294,36.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.24016462989182807,0.007626329262370398,-19.91499900817871,3,51.0,75.0,2.0833333333333335,0,0.217,0.341,36.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.17452611893337872,0.008379398509804663,-21.334999084472656,3,-21.0,3.0,0.08333333333333333,1,0.314,0.443,36.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.08435566997771915,0.01698202599798562,-20.067500114440918,4,51.0,75.0,1.25,0,0.568,0.495,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.2488071495963322,0.010292645406514027,-19.00999927520752,3,51.0,75.0,2.0833333333333335,0,0.272,0.382,36.0,21_Sumurgede,Karawang,2,Drone (rice field)
