point,x,y,date,S2ndvi_fused,VV_fused,VH_fused
0,415821.9455938322,9133401.286936864,2025-09-07,0.3240386007413323,-9.928179183365605,-15.074386579973641
0,415821.9455938322,9133401.286936864,2025-09-19,0.2647036353861909,-9.78494024095757,-15.224278777669578
0,415821.9455938322,9133401.286936864,2025-10-01,0.27083391379233973,-9.320955905354921,-13.917203272418782
0,415821.9455938322,9133401.286936864,2025-10-13,0.343392031291752,-9.209734322045673,-13.371733422870602
0,415821.9455938322,9133401.286936864,2025-10-25,0.29726846881874625,-8.395873005102157,-12.173173878768477
0,415821.9455938322,9133401.286936864,2025-11-06,0.29540074707607106,-9.045880577263105,-12.769801562186734
0,415821.9455938322,9133401.286936864,2025-11-18,0.3093879957551842,-8.36439870132612,-11.289562229783058
0,415821.9455938322,9133401.286936864,2025-11-30,0.25711182305339364,-8.554984356209419,-13.813457749060948
0,415821.9455938322,9133401.286936864,2025-12-12,0.2665834624234181,-8.450634544381233,-13.372461913732364
0,415821.9455938322,9133401.286936864,2025-12-24,0.21108294411251952,-9.631480516447372,-16.41759696953867
0,415821.9455938322,9133401.286936864,2026-01-05,0.13891101746024823,-9.741472704280453,-16.383706171683514
0,415821.9455938322,9133401.286936864,2026-01-17,0.28132060545670723,-9.726567574169058,-13.850931789980999
0,415821.9455938322,9133401.286936864,2026-01-29,0.2235388525270713,-9.803575586840946,-16.088121951784412
0,415821.9455938322,9133401.286936864,2026-02-10,0.27546563278730385,-9.94116992234422,-14.245075279753152
0,415821.9455938322,9133401.286936864,2026-02-22,0.27627831816213355,-8.702754441646405,-13.211707786901522
0,415821.9455938322,9133401.286936864,2026-03-06,0.23017839857551758,-9.499980537689556,-15.592388357314647
0,415821.9455938322,9133401.286936864,2026-03-18,0.2865261101778919,-9.573089196978517,-16.14204221952402
0,415821.9455938322,9133401.286936864,2026-03-30,0.23474293000193852,-8.430292247138128,-13.262076606565133
