point,x,y,date,S2ndvi_fused,VV_fused,VH_fused
0,494225.6593214362,9241670.999743782,2024-11-07,0.13592761853037372,-10.656435297117516,-18.1906320073991
0,494225.6593214362,9241670.999743782,2024-11-19,0.1810856782241982,-10.511185678769003,-17.97337547928765
0,494225.6593214362,9241670.999743782,2024-12-01,0.21505935820756067,-9.982591413154035,-17.353681627957286
0,494225.6593214362,9241670.999743782,2024-12-13,0.11613762398140323,-12.063139578582415,-18.71586935045614
0,494225.6593214362,9241670.999743782,2024-12-25,0.14932158849749666,-11.317957136957636,-18.37004674429961
0,494225.6593214362,9241670.999743782,2025-01-06,0.14268209308962707,-11.474164845159239,-18.37540236779554
0,494225.6593214362,9241670.999743782,2025-01-18,0.02759008424778364,-13.424795673092541,-20.344120235949728
0,494225.6593214362,9241670.999743782,2025-01-30,-0.009315068980538244,-14.427799505779126,-20.66708658262418
0,494225.6593214362,9241670.999743782,2025-02-11,-0.01741784101740365,-14.014341879053145,-20.83574070757936
0,494225.6593214362,9241670.999743782,2025-02-23,-0.06560397522835937,-15.672177016532528,-21.39279946924547
0,494225.6593214362,9241670.999743782,2025-03-07,-0.06983556126717072,-15.095885147054624,-21.346314438935295
0,494225.6593214362,9241670.999743782,2025-03-19,-0.03726375872271753,-14.432445345804815,-20.68428553982771
0,494225.6593214362,9241670.999743782,2025-03-31,-0.15160866477633678,-17.003278267767563,-23.79142282159655
0,494225.6593214362,9241670.999743782,2025-04-12,-0.08171203468056307,-15.867338596223776,-21.997120951731315
0,494225.6593214362,9241670.999743782,2025-04-24,0.05896563792967252,-13.556365216571367,-20.00137429968849
0,494225.6593214362,9241670.999743782,2025-05-06,0.19406399363589805,-10.33858220005314,-17.711838929499937
0,494225.6593214362,9241670.999743782,2025-05-18,0.13061716577901517,-11.501590482287977,-18.668259671188853
0,494225.6593214362,9241670.999743782,2025-05-30,-0.0903387500504804,-15.949799142531973,-21.9315419511646
0,494225.6593214362,9241670.999743782,2025-06-11,0.19086299413513552,-10.207467248195723,-17.76721313323065
0,494225.6593214362,9241670.999743782,2025-06-23,0.16735950942493583,-10.340855187907579,-18.23410173941304
0,494225.6593214362,9241670.999743782,2025-07-05,0.2045427607394813,-10.242609410615417,-17.466786495824397
0,494225.6593214362,9241670.999743782,2025-07-17,0.12836018170714633,-11.71463246689013,-18.890892552857526
0,494225.6593214362,9241670.999743782,2025-07-29,0.09373702804436089,-11.773450739754297,-19.32241109743834
0,494225.6593214362,9241670.999743782,2025-08-10,0.206875533540559,-9.801590463036806,-17.206254652391113
0,494225.6593214362,9241670.999743782,2025-08-22,0.3549751121787027,-7.696042847540824,-15.579488184725246
0,494225.6593214362,9241670.999743782,2025-09-03,0.39468886706575357,-7.45611087098473,-14.84474721625466
0,494225.6593214362,9241670.999743782,2025-09-15,0.4240662763028216,-7.0907616407664795,-14.406739362914163
0,494225.6593214362,9241670.999743782,2025-09-27,0.38908291358982555,-6.708556900314037,-14.642008615264285
0,494225.6593214362,9241670.999743782,2025-10-09,0.3165753716552254,-8.176421199744272,-15.687124199255178
0,494225.6593214362,9241670.999743782,2025-10-21,0.23231906964737403,-9.050654586632637,-16.23442298514242
0,494225.6593214362,9241670.999743782,2025-11-02,0.030028669044322845,-13.494353089645813,-20.211845156906662
1,455167.5968810374,9243942.653784472,2024-11-07,0.28754076126072187,-8.517009591673652,-16.22389497895012
1,455167.5968810374,9243942.653784472,2024-11-19,0.31101741332112126,-8.972080643876815,-16.149579050918902
1,455167.5968810374,9243942.653784472,2024-12-01,0.3409934367717525,-7.797553781996873,-14.840672357587158
1,455167.5968810374,9243942.653784472,2024-12-13,0.3475187576533236,-9.471251085967992,-15.727896427376821
1,455167.5968810374,9243942.653784472,2024-12-25,0.3072871404851321,-6.842744428217685,-15.31542610769803
1,455167.5968810374,9243942.653784472,2025-01-06,0.3140660255700973,-6.088311444335044,-14.77938528325501
1,455167.5968810374,9243942.653784472,2025-01-18,0.32670384853054535,-3.4332583199934588,-12.956359260794835
1,455167.5968810374,9243942.653784472,2025-01-30,0.31097061076857335,-6.896832901887214,-15.09360554512157
1,455167.5968810374,9243942.653784472,2025-02-11,0.323611589298347,-7.6356312043628005,-15.170257474675621
1,455167.5968810374,9243942.653784472,2025-02-23,0.33661650392723774,-4.831133625982056,-13.433409011600531
1,455167.5968810374,9243942.653784472,2025-03-07,0.33044547131863583,-6.533706373981055,-14.170929481988363
1,455167.5968810374,9243942.653784472,2025-03-19,0.31799335033720844,-9.915307562258226,-16.533852359457565
1,455167.5968810374,9243942.653784472,2025-03-31,0.28803503096440725,-13.298359264275717,-18.898119427057054
1,455167.5968810374,9243942.653784472,2025-04-12,0.30437524624860873,-12.80395150196821,-18.361705450420573
1,455167.5968810374,9243942.653784472,2025-04-24,0.30736442382667883,-15.07554032200555,-19.470583667642796
1,455167.5968810374,9243942.653784472,2025-05-06,0.31498967057985694,-10.27031007784097,-16.719511097989006
1,455167.5968810374,9243942.653784472,2025-05-18,0.29757252126737804,-11.769556540592133,-17.760386665531286
1,455167.5968810374,9243942.653784472,2025-05-30,0.29291270202340036,-10.882249038091928,-17.551775879654407
1,455167.5968810374,9243942.653784472,2025-06-11,0.2794878948364633,-11.205335707727388,-17.90028351165657
1,455167.5968810374,9243942.653784472,2025-06-23,0.2738861915506603,-13.076033256766713,-19.05406651005775
1,455167.5968810374,9243942.653784472,2025-07-05,0.2455773002871286,-13.187178981922534,-19.848015738227712
1,455167.5968810374,9243942.653784472,2025-07-17,0.2901616284341968,-10.018632523580235,-17.10847424921191
1,455167.5968810374,9243942.653784472,2025-07-29,0.2889065879797878,-10.8658802700087,-17.620948670873386
1,455167.5968810374,9243942.653784472,2025-08-10,0.3375496538608186,-8.764224716190187,-15.452398868494157
1,455167.5968810374,9243942.653784472,2025-08-22,0.3132586157843484,-8.714442060185153,-15.928767878902477
1,455167.5968810374,9243942.653784472,2025-09-03,0.3426145677929163,-8.212130600173293,-15.023288219489437
1,455167.5968810374,9243942.653784472,2025-09-15,0.3276729835121254,-6.931749443403927,-14.689191327568501
1,455167.5968810374,9243942.653784472,2025-09-27,0.3354655727404332,-9.189263341143132,-15.640252528181222
1,455167.5968810374,9243942.653784472,2025-10-09,0.3276547870737554,-8.632029480088702,-15.649987396134474
1,455167.5968810374,9243942.653784472,2025-10-21,0.3397249360715733,-8.017176629886972,-15.085315461601285
1,455167.5968810374,9243942.653784472,2025-11-02,0.35037620453249707,-8.066178409372828,-14.755069866751402
2,465117.75854116137,9230123.430505203,2024-11-07,0.26067818056121056,-8.381543601659628,-14.661916802858979
2,465117.75854116137,9230123.430505203,2024-11-19,0.11765520704049034,-11.980026524629892,-18.290994887956316
2,465117.75854116137,9230123.430505203,2024-12-01,0.13647846930071728,-11.819497265768796,-18.038583180396966
2,465117.75854116137,9230123.430505203,2024-12-13,0.2551334140756873,-9.339975974666899,-15.667004337135932
2,465117.75854116137,9230123.430505203,2024-12-25,0.3222289169046436,-7.961136311825618,-14.624965427639808
2,465117.75854116137,9230123.430505203,2025-01-06,0.33404882350830406,-8.71679811386947,-15.150890158458804
2,465117.75854116137,9230123.430505203,2025-01-18,0.32441366645709596,-7.942055738626914,-14.419884927948093
2,465117.75854116137,9230123.430505203,2025-01-30,0.26203801670302634,-9.345762061277533,-14.888575140743857
2,465117.75854116137,9230123.430505203,2025-02-11,0.3573833685019908,-7.375694922821898,-13.071013863988435
2,465117.75854116137,9230123.430505203,2025-02-23,0.35424713350797965,-7.497832036540385,-12.77125254424577
2,465117.75854116137,9230123.430505203,2025-03-07,0.2601391539430594,-8.45743300849966,-14.70331228262855
2,465117.75854116137,9230123.430505203,2025-03-19,0.27774394185607953,-8.942797679651648,-15.08108231511626
2,465117.75854116137,9230123.430505203,2025-03-31,0.08680369421640644,-12.737775472292245,-19.66357296379928
2,465117.75854116137,9230123.430505203,2025-04-12,0.13897089782286293,-11.24828027396063,-17.983783237419843
2,465117.75854116137,9230123.430505203,2025-04-24,0.25185613900391113,-9.434560646658294,-15.96416906182128
2,465117.75854116137,9230123.430505203,2025-05-06,0.23478120799514254,-9.818557423792331,-15.975047404729375
2,465117.75854116137,9230123.430505203,2025-05-18,0.3065894263255025,-8.771718291307755,-14.955854349115873
2,465117.75854116137,9230123.430505203,2025-05-30,0.29491551643791075,-8.54656025058502,-15.013555288627119
2,465117.75854116137,9230123.430505203,2025-06-11,0.34767450573329584,-8.018837848814579,-14.401050179679185
2,465117.75854116137,9230123.430505203,2025-06-23,0.334001672828945,-7.832280595935785,-13.296846413064323
2,465117.75854116137,9230123.430505203,2025-07-05,0.29990281918249656,-8.600162142822278,-14.13370000857511
2,465117.75854116137,9230123.430505203,2025-07-17,0.22976310261883362,-9.312135988019739,-15.501659188947158
2,465117.75854116137,9230123.430505203,2025-07-29,-0.017736641015976662,-15.289298863173535,-21.805990449058577
2,465117.75854116137,9230123.430505203,2025-08-10,0.07658203466173466,-12.827713732063105,-19.63699292300806
2,465117.75854116137,9230123.430505203,2025-08-22,0.1856490045425313,-10.798271589627275,-17.651627976068042
2,465117.75854116137,9230123.430505203,2025-09-03,0.30276885982875756,-8.446057890782024,-15.056156662028314
2,465117.75854116137,9230123.430505203,2025-09-15,0.289859380790842,-9.359290647625372,-15.645055449138829
2,465117.75854116137,9230123.430505203,2025-09-27,0.3003884340179355,-8.464622727461633,-14.713907111089217
2,465117.75854116137,9230123.430505203,2025-10-09,0.35383398271101374,-7.722075718602338,-14.189634729751479
2,465117.75854116137,9230123.430505203,2025-10-21,0.3565553356054232,-7.699668030674569,-13.854372311158285
2,465117.75854116137,9230123.430505203,2025-11-02,0.30558425513987125,-8.513731403495058,-13.633654706567036
3,459380.00640956056,9243357.550972825,2024-11-07,0.16509230186841173,-8.875582399235697,-16.05634545990982
3,459380.00640956056,9243357.550972825,2024-11-19,0.26012398177381924,-11.104936964398453,-18.37791418519705
3,459380.00640956056,9243357.550972825,2024-12-01,0.2688105338757186,-10.205461306541428,-17.214417698724063
3,459380.00640956056,9243357.550972825,2024-12-13,0.33552870144073993,-10.133881935677438,-16.81744079965761
3,459380.00640956056,9243357.550972825,2024-12-25,0.2736413231018308,-8.820743114282116,-15.595454670572733
3,459380.00640956056,9243357.550972825,2025-01-06,0.4327542031540247,-9.000374733745229,-13.599148387360891
3,459380.00640956056,9243357.550972825,2025-01-18,0.3339781069552584,-9.439395694406672,-15.058839372520044
3,459380.00640956056,9243357.550972825,2025-01-30,0.30252907738192847,-8.907214905151978,-15.108085435325544
3,459380.00640956056,9243357.550972825,2025-02-11,0.3431203471414235,-7.715939043289265,-12.980739295353299
3,459380.00640956056,9243357.550972825,2025-02-23,0.25262018801300823,-6.980826083256992,-13.99748828168175
3,459380.00640956056,9243357.550972825,2025-03-07,0.25297500910292436,-7.412270332617866,-13.225725149686468
3,459380.00640956056,9243357.550972825,2025-03-19,0.2902684853163494,-10.677769126272594,-17.300804840795756
3,459380.00640956056,9243357.550972825,2025-03-31,0.21366596319652026,-10.823162956456605,-19.00490171885931
3,459380.00640956056,9243357.550972825,2025-04-12,0.21980412031632965,-9.113963824520539,-16.790670003935087
3,459380.00640956056,9243357.550972825,2025-04-24,0.3522131175934683,-9.158231180728041,-15.93629462528188
3,459380.00640956056,9243357.550972825,2025-05-06,0.3927911471381906,-9.03447342559734,-15.0160642666862
3,459380.00640956056,9243357.550972825,2025-05-18,0.3999055466959074,-8.631273451496433,-14.305846989759962
3,459380.00640956056,9243357.550972825,2025-05-30,0.37800286508419373,-9.960899080665605,-14.744329576354227
3,459380.00640956056,9243357.550972825,2025-06-11,0.42795250068687546,-8.582513954084117,-12.603333973927892
3,459380.00640956056,9243357.550972825,2025-06-23,0.2537329838921491,-6.362020222370025,-12.274028187025397
3,459380.00640956056,9243357.550972825,2025-07-05,0.2513854867931988,-7.0265143612157726,-13.348050431987636
3,459380.00640956056,9243357.550972825,2025-07-17,0.26241235042990063,-6.370116388404515,-13.230731601133577
3,459380.00640956056,9243357.550972825,2025-07-29,0.331605400343162,-7.505659906118016,-13.438162306982315
3,459380.00640956056,9243357.550972825,2025-08-10,0.3570576994771674,-7.88107427494713,-12.930773106681679
3,459380.00640956056,9243357.550972825,2025-08-22,0.3786887233091699,-9.07654092812671,-13.48444796343951
3,459380.00640956056,9243357.550972825,2025-09-03,0.3221724618616387,-9.008896617741076,-15.099061013319655
3,459380.00640956056,9243357.550972825,2025-09-15,0.31355591650836556,-8.188945243341193,-13.939228466840586
3,459380.00640956056,9243357.550972825,2025-09-27,0.33133739877306895,-6.458891259166867,-11.837003273341612
3,459380.00640956056,9243357.550972825,2025-10-09,0.2296472616703915,-6.995942878012428,-13.376729331551902
3,459380.00640956056,9243357.550972825,2025-10-21,0.22143313917660729,-13.100140126973127,-19.82287475763556
3,459380.00640956056,9243357.550972825,2025-11-02,0.444208570035978,-15.736928412997758,-19.75648534877315
4,468694.02243723854,9226492.483638326,2024-11-07,-0.07875664781689112,-8.952010549512853,-16.43256736591832
4,468694.02243723854,9226492.483638326,2024-11-19,0.08867845754308679,-4.559273216485053,-14.378481630532686
4,468694.02243723854,9226492.483638326,2024-12-01,0.038913786380760956,-0.46876296873632395,-13.614345929479928
4,468694.02243723854,9226492.483638326,2024-12-13,0.009819842561751752,0.5793674533420452,-13.555854674974018
4,468694.02243723854,9226492.483638326,2024-12-25,0.22763924571631688,-8.225395259273657,-14.436457328800584
4,468694.02243723854,9226492.483638326,2025-01-06,0.2820404334038399,-6.779695254574919,-13.725856746192894
4,468694.02243723854,9226492.483638326,2025-01-18,0.3792733842932072,-7.616317997710875,-13.323536567746512
4,468694.02243723854,9226492.483638326,2025-01-30,0.25725989220885875,-7.360647437254591,-14.038745063080476
4,468694.02243723854,9226492.483638326,2025-02-11,0.3725648537773851,-7.677014171560171,-13.382660175897085
4,468694.02243723854,9226492.483638326,2025-02-23,0.41615722559827395,-7.51366797723616,-13.059673511808565
4,468694.02243723854,9226492.483638326,2025-03-07,0.4565092584640097,-6.113958603530281,-12.552958863340754
4,468694.02243723854,9226492.483638326,2025-03-19,-0.07742509812961784,-2.6475012132264992,-14.776923474276721
4,468694.02243723854,9226492.483638326,2025-03-31,0.11201850217289211,-6.578213694868271,-14.76347594317488
4,468694.02243723854,9226492.483638326,2025-04-12,0.08388216903840298,-7.766106069989816,-15.362342354140845
4,468694.02243723854,9226492.483638326,2025-04-24,0.14610449067148928,-4.899224053660565,-14.209827637681457
4,468694.02243723854,9226492.483638326,2025-05-06,0.2752392093345214,-6.091755247606319,-13.5872822241173
4,468694.02243723854,9226492.483638326,2025-05-18,0.48308596661880787,-7.3136042419576075,-12.742806036230526
4,468694.02243723854,9226492.483638326,2025-05-30,0.30564784326376915,-6.835308616969301,-13.58910464059513
4,468694.02243723854,9226492.483638326,2025-06-11,0.5131692210138479,-5.741707287224407,-12.110943155794399
4,468694.02243723854,9226492.483638326,2025-06-23,0.4182543699491664,-6.28873478482891,-12.742952384559896
4,468694.02243723854,9226492.483638326,2025-07-05,0.47879117039655356,-6.451860166146975,-12.376524547215064
4,468694.02243723854,9226492.483638326,2025-07-17,0.08261506694014858,-4.530288881736231,-14.291987637711577
4,468694.02243723854,9226492.483638326,2025-07-29,0.20657898494247634,-6.316743646192757,-14.080807734821198
4,468694.02243723854,9226492.483638326,2025-08-10,0.3523316820380745,-7.187804545777956,-13.475419574654563
4,468694.02243723854,9226492.483638326,2025-08-22,0.4441749861207548,-5.435860269171274,-12.438523583797105
4,468694.02243723854,9226492.483638326,2025-09-03,0.45040001382863015,-6.689141335953051,-12.649310913530957
4,468694.02243723854,9226492.483638326,2025-09-15,0.3710144942802349,-7.908203246791835,-13.419839254935173
4,468694.02243723854,9226492.483638326,2025-09-27,0.2854880194724643,-9.24659914847406,-14.35714880033406
4,468694.02243723854,9226492.483638326,2025-10-09,0.24511670030525648,-5.690123977417109,-13.66749549368614
4,468694.02243723854,9226492.483638326,2025-10-21,0.2238030628992157,-5.681699871705594,-13.778106713977076
4,468694.02243723854,9226492.483638326,2025-11-02,0.4658317400031933,-6.820556963515019,-12.557339347657203
5,472837.84180351644,9238889.234850045,2024-11-07,0.2352104042015839,-7.555227663219419,-14.017354189475991
5,472837.84180351644,9238889.234850045,2024-11-19,0.1625160741329189,-10.567230942464025,-17.598088166440245
5,472837.84180351644,9238889.234850045,2024-12-01,0.21650413753162515,-11.290882647144226,-17.673105926907922
5,472837.84180351644,9238889.234850045,2024-12-13,0.2745323776272649,-8.778514664405073,-15.094429466515729
5,472837.84180351644,9238889.234850045,2024-12-25,0.3699543756868459,-9.363590314021698,-15.01758118131447
5,472837.84180351644,9238889.234850045,2025-01-06,0.3380567402884391,-9.586642883858326,-14.40231240153524
5,472837.84180351644,9238889.234850045,2025-01-18,0.3776528907597906,-9.38476679490586,-13.548387766745492
5,472837.84180351644,9238889.234850045,2025-01-30,0.28456375361080377,-10.438066240873942,-15.902456454605076
5,472837.84180351644,9238889.234850045,2025-02-11,0.3989853502597863,-5.739667452100488,-10.97078024895426
5,472837.84180351644,9238889.234850045,2025-02-23,0.3546841786749168,-7.796102967275914,-13.022316471372626
5,472837.84180351644,9238889.234850045,2025-03-07,0.2696181306736667,-10.804867084527642,-16.398783854603053
5,472837.84180351644,9238889.234850045,2025-03-19,0.11082157692492561,-12.714355109673669,-19.9487362549613
5,472837.84180351644,9238889.234850045,2025-03-31,0.12184878256989759,-10.914015626001886,-19.19978808966779
5,472837.84180351644,9238889.234850045,2025-04-12,0.20970490402701236,-10.430752696443815,-17.763971084230633
5,472837.84180351644,9238889.234850045,2025-04-24,0.33964337798431593,-8.952068711325238,-15.20445263426877
5,472837.84180351644,9238889.234850045,2025-05-06,0.36060464490870464,-9.75912032845913,-15.253965046970134
5,472837.84180351644,9238889.234850045,2025-05-18,0.3891970976970912,-8.720772429915948,-13.686071381781641
5,472837.84180351644,9238889.234850045,2025-05-30,0.3461634114541096,-10.014784106429666,-14.508604424611343
5,472837.84180351644,9238889.234850045,2025-06-11,0.35727600193903275,-8.308995478500464,-13.281453537483145
5,472837.84180351644,9238889.234850045,2025-06-23,0.3415861310359226,-6.300332571893789,-11.248858873374555
5,472837.84180351644,9238889.234850045,2025-07-05,0.38558601403995274,-6.82707182760255,-11.8699777767422
5,472837.84180351644,9238889.234850045,2025-07-17,0.2719713099793473,-8.161432450578525,-14.51066587715184
5,472837.84180351644,9238889.234850045,2025-07-29,0.29295154347224095,-7.9937957782767715,-15.006067098376754
5,472837.84180351644,9238889.234850045,2025-08-10,0.39706235836402765,-6.367728837357406,-11.708587173423131
5,472837.84180351644,9238889.234850045,2025-08-22,0.3761222012451828,-7.006274068507368,-12.033929172750234
5,472837.84180351644,9238889.234850045,2025-09-03,0.22386394203319834,-7.78917472804922,-15.15173827499973
5,472837.84180351644,9238889.234850045,2025-09-15,0.22409015760596185,-8.30500125051297,-15.289017716387123
5,472837.84180351644,9238889.234850045,2025-09-27,0.23235781296583985,-9.184362593435372,-16.118226157694345
5,472837.84180351644,9238889.234850045,2025-10-09,0.12797211693387142,-13.174259325304053,-20.309389170485368
