point,x,y,SOS_doy,EOS_doy,LOS_steps,peak_NDVI,POS_doy,trough_NDVI,amplitude,seasonal_integral,greenup_rate,senescence_rate
143,461562.8104482815,9251167.694043146,30.0,348.0,318.0,0.40910727,198.0,0.07830597,0.3096168,3.767236,0.0019393822,0.001922882
144,477010.50319447037,9224727.589638263,114.0,312.0,198.0,0.5468007,174.0,0.40979078,0.11229363,1.5418245,0.000883464,0.0003086009
145,460417.57402200194,9220874.681483109,18.0,126.0,108.0,0.51670986,66.0,0.20643897,0.28709227,1.292483,0.006463977,0.0043582744
146,491309.53978197114,9236631.059191298,114.0,0.0,192.0,0.27635193,360.0,0.16003929,0.058156326,0.0,0.0004728156,
147,474676.1857214124,9237165.285809558,78.0,324.0,246.0,0.5028723,210.0,0.21357155,0.28084925,2.9386606,0.0015670676,0.0025377257
148,477342.1611593179,9232957.369646138,0.0,282.0,282.0,0.44758442,6.0,0.16390061,0.14184189,-0.5792369,,0.0010278398
149,464868.7742143947,9240630.535268933,78.0,348.0,270.0,0.34419098,126.0,0.18554923,0.15494984,1.3463316,0.0031512072,0.0006847295
150,489236.15776297066,9234469.146194836,54.0,222.0,168.0,0.4325557,66.0,0.09248648,0.3266868,2.4056273,0.015715696,0.0018859995
151,466020.43578428496,9215960.979619548,222.0,324.0,102.0,0.45952347,312.0,0.346623,0.08156252,0.35813922,0.00067752204,0.0041788444
152,466079.40554025775,9248867.88108654,0.0,54.0,54.0,0.1865402,6.0,0.06536049,0.06058985,-0.02084657,,0.0025245773
153,482894.2229504823,9231116.701917304,150.0,282.0,132.0,0.3778778,162.0,0.10497138,0.23473434,1.9499936,0.014010909,0.001756866
154,488340.85920576146,9234130.511992412,114.0,222.0,108.0,0.45684797,198.0,0.12021874,0.30908215,1.652391,0.002942613,0.013577573
155,484499.1696930115,9240257.68390205,138.0,282.0,144.0,0.45161095,222.0,0.14646237,0.29447895,1.9467915,0.0036327215,0.004730155
156,466097.3855191732,9221581.20311656,138.0,348.0,210.0,0.39505246,198.0,0.053666037,0.3184299,3.4138134,0.0042849476,0.0019698224
157,448552.8043324246,9233623.580081929,54.0,348.0,294.0,0.048384268,198.0,0.008453047,0.036795914,0.5805385,0.00023375421,0.00015257264
158,470539.9343752588,9242352.143734273,102.0,336.0,234.0,0.4513564,222.0,-0.005928189,0.429946,4.960684,0.0033550619,0.0031152808
159,466077.0131566295,9231789.971316162,30.0,138.0,108.0,0.19353451,78.0,0.18043578,0.0108335465,0.028083663,0.00017850722,0.0002183122
160,457692.0518511991,9248147.028277287,54.0,282.0,228.0,0.38978812,186.0,0.041961677,0.31741074,2.6870673,0.002174205,0.0027078346
161,462178.4147930357,9219875.579754863,18.0,324.0,306.0,0.45552507,30.0,0.13438194,0.19520414,1.0369519,0.0057720966,0.0010813918
162,462663.8255274992,9243575.17155643,18.0,90.0,72.0,0.39737844,78.0,0.072189294,0.2914771,1.1624628,0.003006759,0.022967435
163,477661.8351425853,9244753.53976635,258.0,348.0,90.0,0.2694008,312.0,0.039432693,0.18120545,0.41072148,0.004258669,0.0027522743
164,461015.6439325918,9241397.512849728,312.0,348.0,36.0,0.48024437,336.0,-0.110183105,0.3288954,0.53557354,0.017267372,0.005613605
165,469401.5691923222,9244047.816453252,102.0,294.0,192.0,0.55204725,198.0,0.10198298,0.41710523,2.7531118,0.0040015224,0.0046881693
166,447565.1798525796,9231432.090542454,210.0,336.0,126.0,0.25984156,294.0,0.20742011,0.040725544,0.11990326,0.0006240649,0.00069118186
167,496979.59222830564,9240723.29579709,114.0,282.0,168.0,0.5030251,162.0,0.3270501,0.17541498,1.4697603,0.0032802082,0.0014571247
168,477805.0740016805,9235400.404628947,78.0,282.0,204.0,0.41328266,138.0,0.16372065,0.24233204,1.5204004,0.003918368,0.0017031045
169,460383.2632474667,9254094.026248224,138.0,246.0,108.0,0.37654832,210.0,0.21591064,0.15288144,0.870061,0.0016013272,0.004462158
170,502959.8576019066,9246681.066087618,294.0,0.0,12.0,0.5290896,360.0,0.07072247,0.22918358,0.0,0.006944957,
171,460152.4721362782,9242252.558624007,18.0,66.0,48.0,0.39738604,54.0,0.19495362,0.13880914,0.42221603,0.0012354553,0.015028439
