point,x,y,SOS_doy,EOS_doy,LOS_steps,peak_NDVI,POS_doy,trough_NDVI,amplitude,seasonal_integral,greenup_rate,senescence_rate
87,498977.5979523279,9239701.915561754,78.0,306.0,228.0,0.7402894,126.0,0.12864454,0.60687333,4.848026,0.011824042,0.00334501
88,475152.3619695123,9237238.910179926,0.0,90.0,90.0,0.4053561,6.0,0.113429464,0.14596331,0.30136546,,0.0034753173
89,499429.20189812157,9241634.21092979,18.0,90.0,72.0,0.5575519,30.0,0.123917304,0.32340008,1.1837606,0.005916871,0.006794206
90,464056.8066605632,9240203.830173992,90.0,294.0,204.0,0.48030344,138.0,0.203776,0.26889095,2.0232215,0.005760988,0.0016747082
91,486998.206844573,9241764.075986559,30.0,114.0,84.0,0.5128853,90.0,0.3526222,0.15488738,0.66432315,0.002491861,0.00466661
92,473916.1846918246,9247407.906082476,42.0,348.0,306.0,0.36552557,306.0,0.17735764,0.17463252,2.2609837,0.0007127573,0.0033087276
93,502090.1570604852,9248317.398202782,210.0,348.0,138.0,0.4456336,336.0,0.10048871,0.20474555,1.2190762,0.002739245,0.001066727
94,478301.3411596689,9242662.959249368,126.0,348.0,222.0,0.21731022,282.0,0.07612196,0.114229515,1.4182173,0.000559428,0.0012237965
95,462936.8889807986,9246184.245341988,114.0,348.0,234.0,0.3049644,198.0,0.1005419,0.19048765,2.065083,0.0020934348,0.0011770187
96,491308.63570739847,9235394.899991183,126.0,324.0,198.0,0.47346076,198.0,0.10947852,0.35851604,2.5126312,0.0046176696,0.002715697
97,480460.1297978328,9231294.09787235,102.0,312.0,210.0,0.43374538,138.0,0.10224505,0.32239538,2.6996858,0.0063711647,0.0017845121
98,462159.41918740293,9252939.543252591,138.0,234.0,96.0,0.4152959,174.0,0.19582693,0.20876822,1.1046447,0.0057037016,0.0033011246
