point,x,y,season,SOS,POS,EOS,SOS_doy,POS_doy,EOS_doy,peak_NDVI,trough_NDVI,amplitude,LOS_days,greenup_days
44,491432.4451316046,9242149.290268747,1,2024-11-19,2025-01-18,2025-03-31,324,18,90,0.416,0.029,0.387,132,60
44,491432.4451316046,9242149.290268747,2,2025-03-31,2025-05-18,2025-05-30,90,138,150,0.366,0.022,0.344,60,48
46,461674.38594307785,9219924.824686913,1,2024-11-19,2024-12-01,2024-12-13,324,336,348,0.303,0.005,0.298,24,12
46,461674.38594307785,9219924.824686913,2,2024-12-13,2025-03-31,2025-05-30,348,90,150,0.24,0.087,0.235,168,108
47,459708.35640182823,9229993.107302204,1,2024-11-19,2025-01-06,2025-03-19,324,6,78,0.387,0.181,0.206,120,48
51,492877.6308570401,9237296.878424976,1,2024-11-19,2024-12-13,2024-12-25,324,348,360,0.545,0.391,0.154,36,24
53,473247.9102632764,9236850.788607806,1,2024-11-07,2024-11-07,2024-11-19,312,312,324,0.248,-0.038,0.285,12,0
53,473247.9102632764,9236850.788607806,2,2024-11-19,2025-02-23,2025-03-31,324,54,90,0.488,0.19,0.526,132,96
53,473247.9102632764,9236850.788607806,3,2025-03-31,2025-05-18,2025-07-17,90,138,198,0.453,0.287,0.263,108,48
53,473247.9102632764,9236850.788607806,4,2025-07-17,2025-09-03,2025-10-09,198,246,282,0.39,0.117,0.274,84,48
54,474765.8228672643,9240253.178344594,1,2024-11-07,2025-03-07,2025-04-12,312,66,102,0.319,0.168,0.244,156,120
55,484378.051596208,9232252.026378073,1,2024-11-19,2025-01-06,2025-01-30,324,6,30,0.524,0.289,0.455,72,48
55,484378.051596208,9232252.026378073,2,2025-01-30,2025-02-23,2025-04-12,30,54,102,0.471,0.085,0.387,72,24
55,484378.051596208,9232252.026378073,3,2025-04-12,2025-06-23,2025-07-05,102,174,186,0.348,0.172,0.264,84,72
56,467343.26667809614,9227646.860673668,1,2024-11-19,2025-03-07,2025-04-12,324,66,102,0.4,0.143,0.257,144,108
58,468452.7999574412,9246004.412920889,1,2024-11-07,2024-12-01,2024-12-13,312,336,348,0.313,0.159,0.154,36,24
58,468452.7999574412,9246004.412920889,2,2024-12-13,2025-03-19,2025-05-06,348,78,126,0.358,0.144,0.214,144,96
59,491480.23960812954,9234938.214313986,1,2025-01-06,2025-03-31,2025-05-06,6,90,126,0.352,0.168,0.184,120,84
62,457714.92837483657,9254004.122692715,1,2024-11-19,2024-12-13,2025-02-11,324,348,42,0.261,0.093,0.168,84,24
63,460055.40116591775,9251297.239653142,1,2024-11-19,2024-11-19,2025-01-06,324,324,6,0.377,-0.045,0.422,48,0
63,460055.40116591775,9251297.239653142,2,2025-01-06,2025-05-18,2025-06-11,6,138,162,0.334,0.135,0.38,156,132
65,461923.54818452697,9245129.916387131,1,2024-12-01,2025-03-19,2025-05-06,336,78,126,0.233,0.06,0.172,156,108
65,461923.54818452697,9245129.916387131,2,2025-05-06,2025-09-15,2025-10-21,126,258,294,0.282,0.098,0.222,168,132
66,491699.47179231985,9241880.724191854,1,2024-12-25,2025-01-18,2025-03-31,360,18,90,0.167,-0.046,0.213,96,24
66,491699.47179231985,9241880.724191854,2,2025-03-31,2025-05-18,2025-05-30,90,138,150,0.2,0.013,0.246,60,48
68,471038.9177007015,9240756.899088582,1,2024-11-19,2025-03-07,2025-03-31,324,66,90,0.361,0.196,0.165,132,108
69,483030.323396994,9231951.52069125,1,2024-11-07,2025-01-06,2025-01-30,312,6,30,0.377,0.184,0.258,84,60
69,483030.323396994,9231951.52069125,2,2025-01-30,2025-02-23,2025-04-24,30,54,114,0.374,0.139,0.235,84,24
70,469929.8311135617,9223366.933888089,1,2024-11-07,2024-12-25,2025-01-30,312,360,30,0.413,0.207,0.207,84,48
70,469929.8311135617,9223366.933888089,2,2025-01-30,2025-03-19,2025-04-12,30,78,102,0.36,0.194,0.166,72,48
73,491893.8667914206,9238022.8815513,1,2024-12-13,2025-01-30,2025-03-19,348,30,78,0.198,-0.003,0.201,96,48
76,465599.48247414775,9221393.710740786,1,2024-11-19,2024-11-19,2024-12-13,324,324,348,0.403,0.159,0.244,24,0
76,465599.48247414775,9221393.710740786,2,2024-12-13,2025-03-31,2025-05-06,348,90,126,0.389,0.078,0.311,144,108
