point,x,y,season,SOS,POS,EOS,SOS_doy,POS_doy,EOS_doy,peak_NDVI,trough_NDVI,amplitude,LOS_days,greenup_days
7,415779.75100938353,9133417.839500109,1,2025-11-30,2026-03-18,2026-04-23,334,77,113,0.447,0.228,0.219,144,108
8,415802.5314947231,9133438.285220942,1,2026-01-17,2026-03-18,2026-04-23,17,77,113,0.465,0.186,0.279,96,60
9,415804.67051835306,9133480.817067971,1,2026-01-05,2026-03-18,2026-04-23,5,77,113,0.459,0.207,0.252,108,72
12,415796.8238107496,9133606.790226942,1,2025-11-30,2026-01-17,2026-01-29,334,17,29,0.556,0.225,0.331,60,48
18,415786.0968833244,9133426.770096306,1,2025-11-30,2026-03-18,2026-04-23,334,77,113,0.455,0.191,0.264,144,108
29,415739.6513732516,9133539.501241423,1,2025-09-07,2025-11-30,2026-01-05,250,334,5,0.394,0.158,0.236,120,84
