point,n_seasons,x,y,mean_peak_NDVI,mean_LOS_days,mean_amplitude
7,1,415779.75100938353,9133417.839500109,0.447,144.0,0.219
8,1,415802.5314947231,9133438.285220942,0.465,96.0,0.279
9,1,415804.67051835306,9133480.817067971,0.459,108.0,0.252
12,1,415796.8238107496,9133606.790226942,0.556,60.0,0.331
18,1,415786.0968833244,9133426.770096306,0.455,144.0,0.264
29,1,415739.6513732516,9133539.501241423,0.394,120.0,0.236
