drop_thr,n_cells,exact,within1,mean_mogpr_clip,mean_ci,over_max_frac,frac_higher,frac_lower
0.12,431645,0.4445,0.8981,2.594,2.26,0.4429,0.4141,0.1414
0.15,406728,0.4458,0.9118,2.44,2.294,0.3027,0.3398,0.2144
0.2,362152,0.4255,0.9045,2.19,2.348,0.1424,0.2279,0.3467
0.25,314834,0.383,0.8702,1.964,2.392,0.0606,0.1448,0.4723
0.3,265073,0.3314,0.821,1.772,2.422,0.025,0.0907,0.5779
0.4,160793,0.2358,0.7089,1.478,2.456,0.0045,0.0365,0.7277
