lokasi,region,utm,bujur,lintang,tanggal,fase,sumber
,clu4,32748,107.372306,-6.184194,2024-03-20,6,"Drone (combined survey, Java-clean)"
15 Kroya,clu1,32749,108.072917,-6.4545,2024-03-19,2,"Drone (combined survey, Java-clean)"
15 Kroya,clu1,32749,108.072417,-6.454028,2024-03-19,3,"Drone (combined survey, Java-clean)"
15 Kroya,clu1,32749,108.072917,-6.4545,2024-03-19,2,"Drone (combined survey, Java-clean)"
15 Kroya,clu1,32749,108.072361,-6.454528,2024-03-19,3,"Drone (combined survey, Java-clean)"
1 Bekasi,clu4,32748,107.145639,-6.216806,2024-03-17,5,"Drone (combined survey, Java-clean)"
1 Bekasi,clu4,32748,107.145056,-6.216722,2024-03-17,5,"Drone (combined survey, Java-clean)"
11 Indramayu,clu1,32749,108.302778,-6.324528,2024-03-19,5,"Drone (combined survey, Java-clean)"
11 Indramayu,clu1,32749,108.302944,-6.323917,2024-03-19,4,"Drone (combined survey, Java-clean)"
,clu4,32748,107.21325,-6.171417,2024-03-17,3,"Drone (combined survey, Java-clean)"
,clu4,32748,107.264972,-6.168389,2024-03-17,2,"Drone (combined survey, Java-clean)"
,clu4,32748,107.346028,-6.166972,2024-03-20,2,"Drone (combined survey, Java-clean)"
,clu4,32748,107.345611,-6.169111,2024-03-20,3,"Drone (combined survey, Java-clean)"
16 Sukamandi1,clu4,32748,107.631083,-6.3655,2024-03-20,6,"Drone (combined survey, Java-clean)"
,clu4,32748,107.360139,-6.218361,2024-03-20,2,"Drone (combined survey, Java-clean)"
,clu4,32748,107.399167,-6.332222,2024-03-18,2,"Drone (combined survey, Java-clean)"
17 Sukamandi2,clu4,32748,107.608569,-6.36075,2024-03-20,3,"Drone (combined survey, Java-clean)"
14 Jatimulya,clu4,32748,107.831944,-6.378611,2024-03-20,2,"Drone (combined survey, Java-clean)"
,clu4,32748,107.804667,-6.379528,2024-03-18,2,"Drone (combined survey, Java-clean)"
20 Kroya1,clu1,32749,108.081167,-6.480944,2024-03-19,3,"Drone (combined survey, Java-clean)"
13 Jatibarang1,clu1,32749,108.324444,-6.401889,2024-03-19,2,"Drone (combined survey, Java-clean)"
11 Indramayu,clu1,32749,108.302778,-6.330278,2024-03-19,4,"Drone (combined survey, Java-clean)"
15 Kroya,clu1,32749,108.071667,-6.452111,2024-03-19,2,"Drone (combined survey, Java-clean)"
19 Dongkal Sukasari,clu1,32749,108.273917,-6.385167,2024-03-19,3,"Drone (combined survey, Java-clean)"
17 Sukamandi2,clu4,32748,107.609056,-6.362889,2024-03-20,3,"Drone (combined survey, Java-clean)"
,clu4,32748,107.352861,-6.152889,2024-03-17,2,"Drone (combined survey, Java-clean)"
,clu4,32748,107.346028,-6.166972,2024-03-17,2,"Drone (combined survey, Java-clean)"
,clu4,32748,107.345611,-6.169111,2024-03-17,3,"Drone (combined survey, Java-clean)"
,clu4,32748,107.360139,-6.218361,2024-03-17,2,"Drone (combined survey, Java-clean)"
,clu4,32748,107.372306,-6.184194,2024-03-17,6,"Drone (combined survey, Java-clean)"
,clu4,32748,107.431722,-6.201472,2024-03-17,6,"Drone (combined survey, Java-clean)"
,clu4,32748,107.356861,-6.29425,2024-03-17,6,"Drone (combined survey, Java-clean)"
19 Dongkal Sukasari,clu1,32749,108.2815,-6.385528,2024-03-17,2,"Drone (combined survey, Java-clean)"
,clu4,32748,107.367472,-6.310444,2024-03-18,3,"Drone (combined survey, Java-clean)"
1_Bekasi,clu4,32748,107.145401,-6.216796,2024-03-17,5,"Drone (combined survey, Java-clean)"
11_Indramayu,clu1,32749,108.303213,-6.327785,2024-03-19,5,"Drone (combined survey, Java-clean)"
10_Lemahmukti,clu4,32748,107.464454,-6.26195,2024-03-18,1,"Drone (combined survey, Java-clean)"
4_Rengasdengklok03,clu4,32748,107.348796,-6.1504,2024-03-16,1,"Drone (combined survey, Java-clean)"
1_Bekasi,clu4,32748,107.143145,-6.217257,2024-03-17,4,"Drone (combined survey, Java-clean)"
11_Indramayu,clu1,32749,108.30321,-6.327334,2024-03-19,5,"Drone (combined survey, Java-clean)"
10_Lemahmukti,clu4,32748,107.464452,-6.261498,2024-03-18,1,"Drone (combined survey, Java-clean)"
4_Rengasdengklok03,clu4,32748,107.348794,-6.149948,2024-03-16,1,"Drone (combined survey, Java-clean)"
10_Lemahmukti,clu4,32748,107.46445,-6.261046,2024-03-18,1,"Drone (combined survey, Java-clean)"
4_Rengasdengklok03,clu4,32748,107.348792,-6.149496,2024-03-16,1,"Drone (combined survey, Java-clean)"
10_Lemahmukti,clu4,32748,107.464448,-6.260595,2024-03-18,1,"Drone (combined survey, Java-clean)"
4_Rengasdengklok03,clu4,32748,107.34879,-6.149044,2024-03-16,2,"Drone (combined survey, Java-clean)"
9_Lemahmulya,clu4,32748,107.402007,-6.333191,2024-03-18,4,"Drone (combined survey, Java-clean)"
9_Lemahmulya,clu4,32748,107.402005,-6.33274,2024-03-18,4,"Drone (combined survey, Java-clean)"
9_Lemahmulya,clu4,32748,107.402003,-6.332288,2024-03-18,4,"Drone (combined survey, Java-clean)"
9_Lemahmulya,clu4,32748,107.402001,-6.331836,2024-03-18,4,"Drone (combined survey, Java-clean)"
20_Kroya1,clu1,32749,108.07574,-6.482751,2024-03-19,3,"Drone (combined survey, Java-clean)"
16_Sukamandi1,clu4,32748,107.632049,-6.363253,2024-03-20,6,"Drone (combined survey, Java-clean)"
4_Rengasdengklok03,clu4,32748,107.347893,-6.150404,2024-03-16,2,"Drone (combined survey, Java-clean)"
16_Sukamandi1,clu4,32748,107.632063,-6.365963,2024-03-20,6,"Drone (combined survey, Java-clean)"
16_Sukamandi1,clu4,32748,107.632061,-6.365512,2024-03-20,6,"Drone (combined survey, Java-clean)"
