lokasi,region,utm,bujur,lintang,tanggal,fase,sumber
2_Rengasdengklok01,Karawang,32748,107.338402,-6.148638,3/16/2024,2,Field Survey
10_Lemahmukti,Karawang,32748,107.463208,-6.260749,3/18/2024,1,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.462303,-6.261928,3/18/2024,1,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.461779,-6.261797,3/18/2024,1,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.464155,-6.260846,3/18/2024,1,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.464545,-6.260908,3/18/2024,1,Drone (rice field)
2_Rengasdengklok01,Karawang,32748,107.336935,-6.148441,3/16/2024,2,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.463545,-6.260599,3/18/2024,1,Drone (50x50)
2_Rengasdengklok01,Karawang,32748,107.337559,-6.147997,3/16/2024,2,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.464454,-6.26195,3/18/2024,1,Drone (50x50)
2_Rengasdengklok01,Karawang,32748,107.336929,-6.148773,3/16/2024,2,Drone (50x50)
4_Rengasdengklok03,Karawang,32748,107.34977,-6.149258,3/16/2024,2,Drone (50x50)
4_Rengasdengklok03,Karawang,32748,107.349798,-6.148671,3/16/2024,1,Drone (50x50)
4_Rengasdengklok03,Karawang,32748,107.34919,-6.14974,3/16/2024,1,Drone (50x50)
12_Jatibarang2,Cirebon,32749,108.323113,-6.404424,3/19/2024,2,Drone (rice field)
2_Rengasdengklok01,Karawang,32748,107.340427,-6.147938,3/16/2024,2,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.462911,-6.261017,3/18/2024,1,Drone (rice field)
13_Jatibarang1,Cirebon,32749,108.323492,-6.400969,3/19/2024,2,Drone (rice field)
4_Rengasdengklok03,Karawang,32748,107.349419,-6.150269,3/16/2024,2,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.463995,-6.261997,3/18/2024,1,Drone (rice field)
2_Rengasdengklok01,Karawang,32748,107.337046,-6.148192,3/16/2024,2,Field Survey
2_Rengasdengklok01,Karawang,32748,107.338852,-6.148184,3/16/2024,2,Field Survey
4_Rengasdengklok03,Karawang,32748,107.350127,-6.148868,3/16/2024,2,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.463864,-6.261546,3/18/2024,1,Drone (rice field)
2_Rengasdengklok01,Karawang,32748,107.340379,-6.148755,3/16/2024,2,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.464011,-6.261121,3/18/2024,1,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.462931,-6.260753,3/18/2024,1,Drone (rice field)
2_Rengasdengklok01,Karawang,32748,107.338155,-6.147802,3/16/2024,2,Drone (50x50)
12_Jatibarang2,Cirebon,32749,108.323263,-6.404916,3/19/2024,2,Drone (rice field)
13_Jatibarang1,Cirebon,32749,108.324898,-6.401252,3/19/2024,2,Drone (rice field)
2_Rengasdengklok01,Karawang,32748,107.337178,-6.14906,3/16/2024,2,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.463266,-6.261282,3/18/2024,1,Drone (rice field)
4_Rengasdengklok03,Karawang,32748,107.349615,-6.148654,3/16/2024,1,Drone (50x50)
2_Rengasdengklok01,Karawang,32748,107.337913,-6.147801,3/16/2024,2,Drone (50x50)
2_Rengasdengklok01,Karawang,32748,107.340567,-6.149112,3/16/2024,2,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.463549,-6.261503,3/18/2024,1,Drone (50x50)
4_Rengasdengklok03,Karawang,32748,107.349087,-6.150153,3/16/2024,1,Drone (50x50)
4_Rengasdengklok03,Karawang,32748,107.349508,-6.149759,3/16/2024,1,Drone (50x50)
13_Jatibarang1,Cirebon,32749,108.323887,-6.400464,3/19/2024,2,Drone (rice field)
2_Rengasdengklok01,Karawang,32748,107.339303,-6.148182,3/16/2024,2,Field Survey
2 Rengasdengklok1,Karawang,32748,107.337861,-6.149389,3/16/2024,2,Field Survey
10_Lemahmukti,Karawang,32748,107.461982,-6.260535,3/18/2024,1,Drone (rice field)
2_Rengasdengklok01,Karawang,32748,107.340363,-6.148972,3/16/2024,2,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.463654,-6.260261,3/18/2024,1,Drone (rice field)
2_Rengasdengklok01,Karawang,32748,107.336251,-6.149032,3/16/2024,2,Drone (50x50)
4_Rengasdengklok03,Karawang,32748,107.34941,-6.149315,3/16/2024,2,Drone (50x50)
2_Rengasdengklok01,Karawang,32748,107.337499,-6.148642,3/16/2024,2,Field Survey
3_Rengasdengklok02,Karawang,32748,107.339033,-6.152024,3/16/2024,2,Drone (50x50)
2_Rengasdengklok01,Karawang,32748,107.338372,-6.148873,3/16/2024,2,Drone (50x50)
13_Jatibarang1,Cirebon,32749,108.324557,-6.401649,3/19/2024,2,Drone (rice field)
2_Rengasdengklok01,Karawang,32748,107.337951,-6.14864,3/16/2024,2,Field Survey
19_DongkalSukasari,Cirebon,32749,108.270615,-6.383085,3/19/2024,2,Drone (rice field)
4_Rengasdengklok03,Karawang,32748,107.348298,-6.149593,3/16/2024,2,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.464282,-6.260562,3/18/2024,1,Drone (rice field)
13_Jatibarang1,Cirebon,32749,108.324901,-6.401703,3/19/2024,2,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.464565,-6.260734,3/18/2024,1,Drone (rice field)
2_Rengasdengklok01,Karawang,32748,107.340612,-6.148767,3/16/2024,2,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.462633,-6.260478,3/18/2024,1,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.461753,-6.260303,3/18/2024,1,Drone (rice field)
12_Jatibarang2,Cirebon,32749,108.323102,-6.404055,3/19/2024,2,Drone (rice field)
2_Rengasdengklok01,Karawang,32748,107.340421,-6.148261,3/16/2024,2,Drone (50x50)
14 Jatimulya,Indramayu,32748,107.832917,-6.378083,3/20/2024,2,Drone (rice field)
10 Lemahmukti,Karawang,32748,107.456361,-6.256167,3/20/2024,1,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.463866,-6.260506,3/18/2024,1,Drone (rice field)
4_Rengasdengklok03,Karawang,32748,107.347889,-6.1495,3/16/2024,2,Field Survey
4_Rengasdengklok03,Karawang,32748,107.349516,-6.14889,3/16/2024,2,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.462646,-6.261507,3/18/2024,1,Drone (50x50)
12_Jatibarang2,Cirebon,32749,108.323639,-6.403717,3/19/2024,2,Drone (rice field)
2_Rengasdengklok01,Karawang,32748,107.339305,-6.148634,3/16/2024,2,Field Survey
4_Rengasdengklok03,Karawang,32748,107.349426,-6.148639,3/16/2024,1,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.462667,-6.260761,3/18/2024,1,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.461922,-6.261407,3/18/2024,1,Drone (rice field)
4_Rengasdengklok03,Karawang,32748,107.347887,-6.149048,3/16/2024,2,Field Survey
14_Jatimulya,Indramayu,32748,107.832196,-6.379361,3/20/2024,2,Drone (rice field)
14_Jatimulya,Indramayu,32748,107.832177,-6.379344,3/20/2024,2,Drone (rice field)
2_Rengasdengklok01,Karawang,32748,107.340613,-6.148299,3/16/2024,2,Drone (50x50)
9 Lemahmulya,Karawang,32748,107.402142,-6.333461,3/18/2024,3,Drone (50x50)
9_Lemahmulya,Karawang,32748,107.402071,-6.333403,3/18/2024,4,Drone (rice field)
