bujur,lintang,tanggal,fase,sumber
109.353409,-7.435367,6/11/2024,1,Drone (rice field)
109.353324,-7.434915,6/11/2024,1,Drone (rice field)
109.294744,-7.425756,6/11/2024,2,Drone (rice field)
109.448869,-7.595118,6/12/2024,2,Drone (rice field)
109.4483,-7.595265,6/12/2024,2,Drone (rice field)
109.295794,-7.427041,6/11/2024,2,Drone (rice field)
109.449182,-7.595513,6/12/2024,2,Drone (rice field)
109.294965,-7.425786,6/11/2024,2,Drone (rice field)
109.294879,-7.425773,6/11/2024,2,Drone (rice field)
109.295417,-7.426991,6/11/2024,2,Drone (rice field)
109.353041,-7.436154,6/11/2024,1,Drone (rice field)
109.29491,-7.425672,6/11/2024,2,Drone (rice field)
109.448905,-7.594538,6/12/2024,2,Drone (rice field)
109.295679,-7.426405,6/11/2024,2,Drone (rice field)
109.353768,-7.435827,6/11/2024,1,Drone (rice field)
109.295766,-7.426733,6/11/2024,2,Drone (rice field)
109.448642,-7.595081,6/12/2024,2,Drone (rice field)
109.449607,-7.594794,6/12/2024,2,Drone (rice field)
109.44837,-7.595319,6/12/2024,2,Drone (rice field)
109.353164,-7.436005,6/11/2024,1,Drone (rice field)
109.295437,-7.426763,6/11/2024,2,Drone (rice field)
109.41368,-7.426786,6/11/2024,2,Drone (rice field)
109.295707,-7.426628,6/11/2024,2,Drone (rice field)
109.374502,-7.503704,6/11/2024,1,Drone (rice field)
109.448657,-7.594476,6/12/2024,2,Drone (rice field)
109.375244,-7.504951,6/11/2024,1,Drone (rice field)
109.352617,-7.435126,6/11/2024,1,Drone (rice field)
109.448454,-7.59573,6/12/2024,2,Drone (rice field)
109.353441,-7.435197,6/11/2024,1,Drone (rice field)
109.448916,-7.595048,6/12/2024,2,Drone (rice field)
109.35245,-7.436383,6/11/2024,1,Drone (rice field)
109.352872,-7.434925,6/11/2024,1,Drone (rice field)
109.295745,-7.426219,6/11/2024,2,Drone (rice field)
109.295782,-7.426425,6/11/2024,2,Drone (rice field)
109.37586,-7.503933,6/11/2024,1,Drone (rice field)
109.295026,-7.425928,6/11/2024,2,Drone (rice field)
109.449287,-7.594769,6/12/2024,2,Drone (rice field)
109.352103,-7.435335,6/11/2024,1,Drone (rice field)
109.352185,-7.43527,6/11/2024,1,Drone (rice field)
109.353378,-7.435277,6/11/2024,1,Drone (rice field)
109.374245,-7.504519,6/11/2024,1,Drone (rice field)
109.374212,-7.504438,6/11/2024,1,Drone (rice field)
109.374967,-7.503972,6/11/2024,1,Drone (rice field)
109.411701,-7.426534,6/11/2024,4,Drone (rice field)
109.351974,-7.435484,6/11/2024,1,Drone (rice field)
109.295259,-7.427132,6/11/2024,2,Drone (rice field)
109.413588,-7.426683,6/11/2024,2,Drone (rice field)
109.35214,-7.435142,6/11/2024,1,Drone (rice field)
109.295451,-7.426029,6/11/2024,2,Drone (rice field)
109.449003,-7.594983,6/12/2024,2,Drone (rice field)
109.449182,-7.594686,6/12/2024,2,Drone (rice field)
109.294998,-7.425677,6/11/2024,2,Drone (rice field)
109.295214,-7.426185,6/11/2024,2,Drone (rice field)
109.352926,-7.435215,6/11/2024,1,Drone (rice field)
109.449611,-7.595543,6/12/2024,2,Drone (rice field)
109.352275,-7.436132,6/11/2024,1,Drone (rice field)
109.295551,-7.426336,6/11/2024,2,Drone (rice field)
109.352745,-7.434981,6/11/2024,1,Drone (rice field)
109.375268,-7.503977,6/11/2024,1,Drone (rice field)
109.375409,-7.503816,6/11/2024,1,Drone (rice field)
109.294586,-7.425854,6/11/2024,2,Drone (rice field)
109.353224,-7.435203,6/11/2024,1,Drone (rice field)
109.448656,-7.594928,6/12/2024,2,Drone (rice field)
109.295148,-7.426817,6/11/2024,2,Drone (rice field)
109.448548,-7.59511,6/12/2024,2,Drone (rice field)
109.295142,-7.426894,6/11/2024,2,Drone (rice field)
109.295428,-7.427107,6/11/2024,2,Drone (rice field)
109.449905,-7.59505,6/12/2024,6,Drone (rice field)
109.413446,-7.426966,6/11/2024,2,Drone (rice field)
109.352568,-7.43584,6/11/2024,1,Drone (rice field)
109.353457,-7.435712,6/11/2024,1,Drone (rice field)
109.351782,-7.435055,6/11/2024,1,Drone (rice field)
109.295234,-7.425645,6/11/2024,2,Drone (rice field)
109.295166,-7.426611,6/11/2024,2,Drone (rice field)
109.375591,-7.503786,6/11/2024,1,Drone (rice field)
109.413798,-7.426818,6/11/2024,2,Drone (rice field)
109.413729,-7.426801,6/11/2024,2,Drone (rice field)
109.413747,-7.426751,6/11/2024,2,Drone (rice field)
109.41402,-7.426173,6/11/2024,2,Drone (rice field)
109.412269,-7.426031,6/11/2024,4,Drone (rice field)
109.2954,-7.425653,6/11/2024,2,Drone (rice field)
109.413771,-7.426703,6/11/2024,2,Drone (rice field)
109.413731,-7.426704,6/11/2024,2,Drone (rice field)
109.375083,-7.504118,6/11/2024,1,Drone (rice field)
109.413559,-7.426565,6/11/2024,2,Drone (rice field)
109.413604,-7.426563,6/11/2024,2,Drone (rice field)
109.448859,-7.59465,6/12/2024,2,Drone (rice field)
109.295366,-7.42629,6/11/2024,2,Drone (rice field)
109.412112,-7.426155,6/11/2024,4,Drone (rice field)
109.352952,-7.43617,6/11/2024,1,Drone (rice field)
109.412182,-7.426129,6/11/2024,4,Drone (rice field)
109.448394,-7.595054,6/12/2024,2,Drone (rice field)
109.448314,-7.595002,6/12/2024,2,Drone (rice field)
109.352417,-7.434587,6/11/2024,1,Drone (rice field)
109.448848,-7.595207,6/12/2024,2,Drone (rice field)
109.35211,-7.435493,6/11/2024,1,Drone (rice field)
109.352383,-7.43584,6/11/2024,1,Drone (rice field)
109.448575,-7.595593,6/12/2024,2,Drone (rice field)
109.294981,-7.42607,6/11/2024,2,Drone (rice field)
109.449085,-7.594796,6/12/2024,2,Drone (rice field)
109.352838,-7.435837,6/11/2024,1,Drone (rice field)
109.353137,-7.434917,6/11/2024,1,Drone (rice field)
109.353184,-7.435637,6/11/2024,1,Drone (rice field)
109.44848,-7.595601,6/12/2024,2,Drone (rice field)
109.35286,-7.435691,6/11/2024,1,Drone (rice field)
109.374355,-7.503971,6/11/2024,1,Drone (rice field)
109.352083,-7.434635,6/11/2024,1,Drone (rice field)
109.295229,-7.425842,6/11/2024,2,Drone (rice field)
109.353602,-7.435875,6/11/2024,1,Drone (rice field)
109.353552,-7.435808,6/11/2024,1,Drone (rice field)
109.295122,-7.425948,6/11/2024,2,Drone (rice field)
109.352595,-7.435577,6/11/2024,1,Drone (rice field)
109.413705,-7.426553,6/11/2024,2,Drone (rice field)
109.295627,-7.426103,6/11/2024,2,Drone (rice field)
109.448403,-7.594744,6/12/2024,2,Drone (rice field)
109.352743,-7.435433,6/11/2024,1,Drone (rice field)
109.353674,-7.435646,6/11/2024,1,Drone (rice field)
109.449107,-7.595381,6/12/2024,2,Drone (rice field)
109.294685,-7.426183,6/11/2024,2,Drone (rice field)
109.352336,-7.436007,6/11/2024,1,Drone (rice field)
109.352829,-7.436113,6/11/2024,1,Drone (rice field)
109.353184,-7.434803,6/11/2024,1,Drone (rice field)
109.449865,-7.594705,6/12/2024,2,Drone (rice field)
109.413401,-7.42687,6/11/2024,2,Drone (rice field)
109.413446,-7.426264,6/11/2024,2,Drone (rice field)
109.413404,-7.426259,6/11/2024,2,Drone (rice field)
109.412267,-7.426138,6/11/2024,4,Drone (rice field)
109.352573,-7.436268,6/11/2024,1,Drone (rice field)
109.295253,-7.427078,6/11/2024,2,Drone (rice field)
109.413255,-7.426736,6/11/2024,2,Drone (rice field)
109.294934,-7.426216,6/11/2024,2,Drone (rice field)
109.29577,-7.426048,6/11/2024,2,Drone (rice field)
109.413147,-7.426777,6/11/2024,2,Drone (rice field)
109.352596,-7.436015,6/11/2024,1,Drone (rice field)
109.375167,-7.504139,6/11/2024,1,Drone (rice field)
109.375603,-7.504412,6/11/2024,1,Drone (rice field)
